animal_id,animal_type,breed,color,date_of_birth,date_of_outcome,name,outcome_subtype,outcome_type,sex_upon_outcome,location_lat,location_long
A742473,Cat,Domestic Shorthair Mix,Brown Tabby/Brown,2016-01-22,2017-01-23,,SCRP,Transfer,Spayed Female,30.64241024,-97.52576656
A742468,Cat,Domestic Shorthair Mix,Black,2016-09-22,2017-01-28,Jiji,,Adoption,Spayed Female,30.63338637,-97.4648295
A694902,Dog,Pit Bull Mix,White/Tricolor,2014-12-22,2015-01-08,,,Return to Owner,Intact Female,30.6508855,-97.49358322
A761936,Dog,Scottish Terrier Mix,Brown Brindle,2017-01-12,2017-11-16,,Partner,Transfer,Intact Male,30.61119534,-97.42060967
A679645,Dog,Boxer/Queensland Heeler,White/Black,2013-05-24,2014-06-17,*Calvin,Behavior,Euthanasia,Neutered Male,30.49388078,-97.37954544
A665579,Cat,Domestic Shorthair Mix,Black,2013-08-19,2013-11-04,*Candy,Partner,Transfer,Neutered Male,30.62338383,-97.67180824
A734988,Dog,Catahoula Mix,Brown Brindle/White,2015-09-16,2017-01-03,*Avalon,,Adoption,Spayed Female,30.59386336,-97.29242243
A664597,Dog,Pit Bull Mix,Blue/White,2013-06-05,2013-10-11,Phoebe,Partner,Transfer,Intact Female,30.35627644,-97.39334418
A763871,Dog,Great Pyrenees Mix,Cream,2012-06-18,2017-12-18,Guardian,,Return to Owner,Intact Male,30.35206139,-97.71263714
A717889,Dog,Pit Bull Mix,White/Black,2013-12-17,2016-01-21,Lulu,,Adoption,Spayed Female,30.31064806,-97.32099504
A705317,Dog,Boxer Mix,Brown Brindle/White,2012-06-16,2015-06-23,*Gretel,,Adoption,Spayed Female,30.66172858,-97.27452998
A722207,Dog,Labrador Retriever Mix,Red,2011-03-12,2016-03-12,Honey,,Return to Owner,Spayed Female,30.47977633,-97.55793438
A681101,Cat,Domestic Shorthair Mix,Brown Tabby,2013-06-12,2014-06-19,Spaghetti,Partner,Transfer,Spayed Female,30.59178052,-97.73211734
A732772,Cat,Domestic Shorthair Mix,Black/White,2014-08-13,2016-08-13,,Partner,Transfer,Intact Female,30.50725261,-97.5041827
A736742,Cat,Domestic Shorthair Mix,Black Tabby,2016-09-24,2016-10-16,,Partner,Transfer,Unknown,30.44043841,-97.71263698
A735432,Cat,Domestic Shorthair,White/Brown Tabby,2016-03-23,2016-11-11,*Ninfa,,Adoption,Spayed Female,30.46077836,-97.68553695
A729315,Dog,Chihuahua Shorthair Mix,Tricolor,2010-01-16,2016-06-20,Abby,Partner,Transfer,Spayed Female,30.51642112,-97.72124964
A748631,Dog,Chihuahua Shorthair Mix,Black,2016-05-04,2017-05-08,,,Adoption,Spayed Female,30.68789573,-97.24791016
A669295,Dog,Labrador Retriever Mix,Brown,2010-12-18,2014-04-04,Niko,,Adoption,Neutered Male,30.74707663,-97.26533295
A704099,Dog,American Bulldog Mix,White/Brown,2014-08-01,2015-06-11,*Sarah,,Adoption,Spayed Female,30.69532699,-97.71059371
A673387,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-09-23,2014-03-02,Alex,,Adoption,Neutered Male,30.33977396,-97.49226594
A723147,Dog,Pit Bull Mix,Brown/Black,2014-03-27,2016-04-06,Major,,Return to Owner,Spayed Female,30.32836625,-97.34589456
A718636,Dog,Pit Bull Mix,Brown Brindle/White,2014-01-03,2016-04-01,*Hans Knut,,Adoption,Neutered Male,30.66066978,-97.67683189
A685713,Other,Armadillo Mix,Gray,2013-08-11,2014-08-12,,Medical,Euthanasia,Unknown,30.52182784,-97.25263933
A706329,Cat,Domestic Shorthair Mix,Brown Tabby,2015-06-05,2015-08-30,*Flopsy,Offsite,Adoption,Spayed Female,30.64848189,-97.69971671
A743006,Dog,Dachshund Longhair Mix,Blue Tick,2010-02-02,2017-02-02,Elmer,,Return to Owner,Intact Male,30.38624168,-97.36200488
A750619,Dog,Labrador Retriever Mix,Blue,2016-12-07,2017-06-02,Carrie,,Adoption,Spayed Female,30.31434761,-97.68780188
A740541,Cat,Domestic Medium Hair Mix,Black/White,2010-12-19,2016-12-19,Georgie Boy,,Return to Owner,Neutered Male,30.58501204,-97.49484296
A669638,Dog,Pit Bull Mix,Tan/White,2012-12-23,2014-07-29,Rufus,Partner,Transfer,Neutered Male,30.27938659,-97.3127575
A549989,Cat,Domestic Shorthair Mix,Black/White,2009-05-09,2013-10-12,Bert,,Adoption,Neutered Male,30.65917154,-97.65202046
A710766,Other,Bat Mix,Brown,2014-08-27,2015-08-27,,Rabies Risk,Euthanasia,Unknown,30.36045071,-97.72157978
A691714,Dog,Chihuahua Shorthair Mix,Tricolor,2012-11-08,2015-02-23,Archer,Partner,Transfer,Neutered Male,30.71708329,-97.55459904
A645075,Dog,Labrador Retriever Mix,Chocolate,2008-01-02,2014-11-25,Bear,Aggressive,Euthanasia,Intact Male,30.29971277,-97.277658
A731542,Dog,Pit Bull Mix,Brown Brindle/White,2014-07-23,2016-09-02,Roscoe,,Return to Owner,Neutered Male,30.54334757,-97.73988026
A745619,Dog,English Bulldog Mix,Black/White,2017-01-21,2017-03-23,,Partner,Transfer,Intact Female,30.73843869,-97.3251826
A705676,Dog,Chihuahua Shorthair Mix,White/Tan,2013-06-20,2015-07-04,*Lacey,,Adoption,Spayed Female,30.62075983,-97.30352288
A692656,Dog,Labrador Retriever Mix,Yellow,2013-11-24,2014-12-04,Gordo,Partner,Transfer,Neutered Male,30.70002536,-97.45803038
A684391,Dog,Jack Russell Terrier Mix,White/Black,2012-07-22,2014-08-22,,,Adoption,Neutered Male,30.70276111,-97.26885632
A753658,Dog,Beagle Mix,Red,2015-07-09,2017-07-11,,Partner,Transfer,Intact Female,30.56228725,-97.58571392
A731736,Dog,Pit Bull Mix,White,2013-07-26,2017-03-02,Novah,Partner,Transfer,Spayed Female,30.28601105,-97.39748006
A688274,Dog,Chihuahua Shorthair Mix,Sable/White,2014-07-17,2014-09-20,,Offsite,Adoption,Spayed Female,30.50137197,-97.52907822
A750398,Dog,Chihuahua Shorthair Mix,White/Tan,2015-05-26,2017-05-30,,,Adoption,Neutered Male,30.73005867,-97.42570446
A765203,Other,Fox Mix,Brown,2016-01-15,2018-01-17,,,Euthanasia,Unknown,30.70631818,-97.63959111
A721005,Dog,Labrador Retriever Mix,Black,2015-10-19,2016-02-23,,,Adoption,Spayed Female,30.27628227,-97.54219909
A690312,Cat,Domestic Shorthair Mix,Blue Tabby,2014-04-18,2014-10-20,,SCRP,Transfer,Intact Female,30.52814344,-97.60996465
A759566,Dog,Chihuahua Shorthair/Rat Terrier,Cream,2014-04-03,2017-10-21,Hiro,,Adoption,Neutered Male,30.54029858,-97.46834848
A693176,Dog,Beagle Mix,Tan/White,2014-02-03,2014-12-07,Dakota,,Adoption,Spayed Female,30.59818808,-97.35274981
A634994,Cat,Domestic Shorthair Mix,Brown Tabby/White,2004-04-30,2017-04-30,Jolie,,Return to Owner,Spayed Female,30.6803902,-97.24908104
A710709,Dog,Australian Kelpie Mix,Black/Tan,2007-08-26,2015-09-13,*Gwen,,Adoption,Spayed Female,30.32102391,-97.26504888
A726589,Cat,Domestic Shorthair Mix,Black/White,2009-05-19,2016-11-12,Kramer,Foster,Adoption,Neutered Male,30.3459586,-97.26629977
A726388,Cat,Domestic Longhair Mix,Blue Tabby/White,2016-04-10,2016-06-28,*Cobalt,,Adoption,Spayed Female,30.36481523,-97.3592239
A682162,Cat,Domestic Shorthair Mix,Calico,2014-03-25,2014-07-13,Khalesi,Foster,Adoption,Spayed Female,30.51352275,-97.2540721
A663015,Dog,Miniature Pinscher Mix,Black/Tan,2011-09-11,2014-07-15,Bugs,,Adoption,Neutered Male,30.37585681,-97.30292432
A691834,Dog,Miniature Schnauzer/Jack Russell Terrier,Brown/Black,2013-11-10,2015-01-20,Fifi,,Return to Owner,Spayed Female,30.62604312,-97.71655576
A716224,Dog,Australian Shepherd Mix,Brown/Red Tick,2003-11-17,2015-11-17,Skylos,,Return to Owner,Neutered Male,30.7187957,-97.59758949
A697686,Cat,Domestic Longhair Mix,Black/White,2007-02-26,2015-08-12,*Remy,Suffering,Euthanasia,Spayed Female,30.33585544,-97.52633892
A749815,Cat,Domestic Medium Hair Mix,Black,2017-04-20,2017-07-06,,Foster,Adoption,Spayed Female,30.45894011,-97.3632575
A716434,Dog,Blue Lacy,Brown/White,2013-11-19,2015-11-27,*Bonnie,,Adoption,Spayed Female,30.44966548,-97.72840732
A749370,Cat,Domestic Medium Hair Mix,Tortie,2017-02-11,2017-05-18,,,Adoption,Spayed Female,30.27288419,-97.54763633
A665831,Dog,Labrador Retriever/Pit Bull,Red,2013-03-23,2016-11-18,Smokey,,Return to Owner,Neutered Male,30.60684677,-97.73914785
A751678,Dog,Chihuahua Shorthair Mix,Cream,2017-02-11,2017-06-22,Canela,,Adoption,Spayed Female,30.73370713,-97.24483533
A687008,Cat,Domestic Shorthair Mix,Black/White,2014-08-20,2014-08-30,,Partner,Transfer,Intact Male,30.71226628,-97.61046441
A677571,Cat,Domestic Medium Hair Mix,Blue Tabby/White,2014-04-06,2014-04-26,,Partner,Transfer,Intact Male,30.61467282,-97.59343759
A662943,Cat,Domestic Shorthair Mix,Black,2013-03-10,2013-10-13,*Harry,,Adoption,Neutered Male,30.33746674,-97.33105616
A703522,Dog,Miniature Schnauzer Mix,White,2010-12-25,2015-06-08,Bella,,Adoption,Spayed Female,30.43781327,-97.73869907
A703739,Other,Rex Mix,Brown/White,2014-05-28,2015-06-03,,In Kennel,Died,Unknown,30.65261266,-97.61244559
A696155,Dog,Pit Bull Mix,Red,2013-01-30,2015-12-05,Brurdaoex,,Return to Owner,Neutered Male,30.4738122,-97.72393135
A675365,Dog,Labrador Retriever Mix,Cream,2013-12-30,2014-03-30,,,Adoption,Spayed Female,30.74723691,-97.55756004
A659830,Dog,Labrador Retriever/Doberman Pinsch,Black,2013-07-23,2014-06-25,*Harry,Foster,Adoption,Neutered Male,30.537151,-97.39774578
A680705,Cat,Domestic Shorthair Mix,Black/White,2014-05-28,2014-06-06,,Partner,Transfer,Intact Male,30.31091243,-97.34131021
A749468,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-15,2017-05-26,,Snr,Transfer,Neutered Male,30.6481838,-97.29247126
A742094,Other,Bat Mix,Brown,2015-01-14,2017-01-15,,Rabies Risk,Euthanasia,Unknown,30.76216703,-97.34025935
A715876,Dog,German Shepherd Mix,Black/Tan,2012-11-11,2015-11-25,Precious,,Adoption,Spayed Female,30.46232364,-97.49213469
A709833,Cat,Domestic Shorthair Mix,Blue/White,2014-08-13,2015-08-14,,SCRP,Transfer,Unknown,30.27863656,-97.37947218
A706256,Dog,German Shepherd Mix,Tan,2015-04-30,2015-07-02,*Groot,,Adoption,Neutered Male,30.28475734,-97.32908816
A732728,Cat,Domestic Shorthair Mix,Black,2016-04-12,2016-08-13,,Partner,Transfer,Intact Male,30.39929667,-97.28174277
A711243,Cat,Domestic Shorthair Mix,Cream Tabby,2015-04-04,2015-09-05,,SCRP,Transfer,Intact Male,30.53490013,-97.27882834
A692638,Dog,Australian Cattle Dog Mix,Blue Merle,2014-10-13,2014-12-08,,Foster,Adoption,Spayed Female,30.67333994,-97.62242819
A684424,Cat,Domestic Shorthair Mix,Black,2013-07-23,2014-07-26,Midnight,Partner,Transfer,Intact Female,30.28629453,-97.36099559
A680005,Dog,Australian Kelpie Mix,Tan/Black,2014-03-29,2014-06-01,,,Adoption,Neutered Male,30.33304315,-97.39934116
A622351,Dog,Chihuahua Shorthair Mix,Brown,2011-08-19,2014-02-24,Alvin,Partner,Transfer,Intact Male,30.28053463,-97.72932469
A565498,Dog,Rottweiler/Labrador Retriever,Black/Tan,2007-01-25,2014-02-05,Dukey,,Return to Owner,Neutered Male,30.33252145,-97.34082276
A673261,Dog,German Shepherd/Doberman Pinsch,Black/Tan,2013-02-21,2014-04-27,Danny,,Adoption,Neutered Male,30.44358528,-97.24672573
A752260,Other,Raccoon Mix,Gray/Black,2017-04-20,2017-06-20,,Medical,Euthanasia,Unknown,30.52088368,-97.38291113
A694422,Cat,Domestic Shorthair Mix,Calico,2014-11-15,2015-01-24,*Calla,Partner,Transfer,Spayed Female,30.39964529,-97.67599041
A661631,Dog,Yorkshire Terrier/Yorkshire Terrier,Brown,2011-08-22,2017-03-04,Peke,,Adoption,Neutered Male,30.52787152,-97.52451282
A702839,Cat,Domestic Shorthair Mix,Tortie,2015-04-18,2015-07-18,*Tort,Foster,Adoption,Spayed Female,30.40128963,-97.26853051
A755069,Other,Bat,Brown,2016-07-28,2017-07-31,,Rabies Risk,Euthanasia,Unknown,30.35055168,-97.62907391
A743493,Dog,Great Dane Mix,Black,2014-06-02,2017-02-11,King,,Return to Owner,Neutered Male,30.28973518,-97.30774743
A751734,Cat,Domestic Shorthair Mix,Blue,2017-05-05,2017-06-18,*Hannah,Partner,Transfer,Intact Female,30.64536484,-97.47681018
A716081,Dog,Pomeranian Mix,Buff,2013-11-13,2015-12-02,Baby Bear,Partner,Transfer,Intact Male,30.52456379,-97.40271571
A686576,Dog,Labrador Retriever Mix,Buff,2012-08-23,2014-08-27,,Partner,Transfer,Spayed Female,30.61499082,-97.44035894
A705201,Dog,Cardigan Welsh Corgi Mix,White,2014-06-14,2015-06-28,Daisy,,Adoption,Spayed Female,30.59353476,-97.60560951
A733000,Other,Bat,Brown,2013-08-16,2016-08-16,,Rabies Risk,Euthanasia,Unknown,30.65727471,-97.49923897
A719360,Dog,Labrador Retriever Mix,Black/White,2015-11-18,2017-07-16,Champ,,Adoption,Neutered Male,30.31503893,-97.6910306
A726037,Dog,Chinese Sharpei Mix,Brown Brindle,2009-05-05,2016-05-05,Rocca,,Return to Owner,Spayed Female,30.70041254,-97.25586156
A736057,Cat,Domestic Shorthair Mix,Blue Tabby,2016-03-03,2016-11-26,Devin,Partner,Transfer,Neutered Male,30.32222733,-97.57932021
A684915,Dog,Maltese Mix,White,2011-07-30,2014-08-06,*Yogi,,Adoption,Neutered Male,30.43146859,-97.41990509
A728227,Dog,Pit Bull Mix,Brown,2016-04-01,2016-06-06,,,Adoption,Spayed Female,30.72935849,-97.64203111
